Video ID,Published At,Channel ID,Title,Description,Thumbnail URL,Channel Title,Category ID,View Count,Like Count,Favorite Count,Comment Count
z7O9RVTnk3s,2024-05-08T08:00:35Z,UCqKNMJ5s_vsf7WkesdBrvQA,"IS:SUE (イッシュ) ""1st IS:SUE"" Concept Trailer","IS:SUE (イッシュ) ""1st IS:SUE"" Concept Trailer

➫ 2024.05.17 19:00(JST) 'CONNECT' MV


IS:SUE DEBUT SINGLE
┃𝟭𝘀𝘁 𝗜𝗦:𝗦𝗨𝗘┃
2024.06.19 Release

https://is-sue.jp/news/detail/5


Official YouTube https://www.youtube.com/@issue_is_coming
Official Website https://is-sue.jp
Official Instagram https://www.instagram.com/issue_is_coming/
Official X https://twitter.com/issue_is_coming
Official TikTok https://www.tiktok.com/@issue_is_coming
Official Weibo https://weibo.com/issueiscoming


#ISSUE #イッシュ #이슈
#1st_ISSUE #ISSUE_CONNECT",https://i.ytimg.com/vi/z7O9RVTnk3s/hqdefault.jpg,IS:SUE,10,396049,30000,0,3709
yIkdc5d2GLo,2024-05-08T09:00:46Z,UCRmF5Y0mEXwdqH3hSiiTXNw,裏toHEROes ／ 初東京ドームライブ。HEROたちの裏の顔に迫る。,"#裏toHEROes

【裏 toHEROes】
#三宅健　#北山宏光　#Number_i　#IMP. 　#大東立樹

初東京ドームライブ。
HEROたちの裏の顔に迫る。
MC：宮下草薙、東京ホテイソン

提供：プライムビデオ

ーーーーーーーーーーーーーー
Be on Your sideをご視聴・ご覧くださりありがとうございます。 
本楽曲による利益は、被災地の子どもたちのために、役立てる予定です。
 ※楽曲による利益の寄付先・寄付金額などは、今後TOBE公式サイトにてご報告いたします。
ーーーーーーーーーーーーーー

★TOBE  Official
Official Site：https://tobe-official.jp/
Instagram：https://www.instagram.com/tobeofficial_jp/
X：https://twitter.com/tobeofficial_jp
TikTok  :  https://www.tiktok.com/@tobeofficial_jp

★TOBE OFFICIAL STORE
https://tobe-store.jp

★三宅 健 Official
Instagram：https://www.instagram.com/kenmiyake_idol/
X：https://twitter.com/kenmiyake_idol
YouTube： https://www.youtube.com/@kenmiyake_idol

★北山 宏光 Official
Instagram：https://www.instagram.com/k_hiro_mitsu917/
X：https://twitter.com/k_hiro_mitsu917
YouTube：https://www.youtube.com/@k_hiro_mitsu917

★Number_i  Official
YouTube：https://www.youtube.com/@Number_i_official

平野 紫耀 Official
Instagram：https://www.instagram.com/sho_h_desyo/

神宮寺 勇太 Official
Instagram：https://www.instagram.com/_yutajinguji/

岸 優太 Official
Instagram：https://www.instagram.com/_yuta_kishi_/
X：https://twitter.com/_yuta_kishi_

★IMP. Official
Instagram：https://instagram.com/_7mp_official_/
X：https://twitter.com/_7mp_official_
YouTube：https://www.youtube.com/@_7mp_official_
 


ーーーーーーーーーーーーーーーーーーーーーー
『to HEROes ～TOBE 1st Super Live～ SPECIAL EDITION』
プライムビデオで世界独占配信中！
▷https://www.amazon.co.jp/dp/B0CXC81TXZ
作品の視聴には会員登録が必要です。
Amazonプライムについて詳しくは https://www.amazon.co.jp/amazonprime へ。
ーーーーーーーーーーーーーーーーーーーーーーー

この動画は2025年5月7日まで公開されます。
#PR",https://i.ytimg.com/vi/yIkdc5d2GLo/hqdefault.jpg,TOBE OFFICIAL,24,420559,37470,0,1976
wRi0hmeLJN4,2024-05-08T13:01:00Z,UCjk0vxDFjZCdiZ6keN1KtgQ,HY – 「366日 feat. 藤牧京介 (INI)」 Collaboration Movie,"フジテレビ系月9ドラマ『366日』の主題歌「366日」を、HYの仲宗根泉とINI 藤牧京介がデュエットしたコラボバージョン。

HY「366日 feat. 藤牧京介」配信中
https://HY.lnk.to/366days_ftKF

HY - 「366日 (Official Duet ver.)」Live Music Video
https://youtu.be/NeehvcFqLX8

「366日 (Official Duet ver.)」配信中
https://HY.lnk.to/366days_odv

フジテレビ系月9ドラマ『366日』毎週月曜よる9時放送中
≪最新放送回 無料配信中≫
【TVer】https://tver.jp/series/srlobbmqcn
【FOD】https://fod.fujitv.co.jp/title/11nx

#hy #366日 #ドラマ366日
#INI #藤牧京介",https://i.ytimg.com/vi/wRi0hmeLJN4/hqdefault.jpg,HY Official,10,266128,19699,0,2334
PJAHkIBg3p0,2024-05-08T15:19:56Z,UC1opHUrw8rvnsadT-iGp7Cg,【#あくぺこ並走対決】岩を転がして頂上目指すゲームで勝負！！！！！！！！！！あく！【ホロライブ/湊あくあ】,"ぺこ！

勝負相手@usadapekora 

本ゲームは cream に確認の上配信・収益化を行なっております。

⚓10th Original Song「エイムに愛されしガール」配信中！
https://cover.lnk.to/GirllovedbyAim

▷◁－－－－－－－－－－－－－－－－－－－－－－－－－▷◁ 
⚓My twitter
https://twitter.com/minatoaqua 

⚓湊あくあ　メンバーシップ⚓
あくあクルー隊員募集中です！ 
メンバーシップ限定生放送や限定バッジなど特典盛りだくさん✨✨
登録はここから➡https://www.youtube.com/channel/UC1opHUrw8rvnsadT-iGp7Cg/join

⚓配信の切り抜きや実況、スクショツイートは#湊あくあ生放送 で！
▷◁－－－－－－－－－－－－－－－－－－－－－－－－－▷◁ 
⚓湊あくあ　オリジナルグッズ・ボイス情報⚓
⚓『オリジナルNEKO Tシャツ』 https://hololive.booth.pm/items/2120562
⚓『はじめてのオリジナル個人ボイス』 https://hololive.booth.pm/items/1161272
⚓『2周年記念アクリルキーホルダー』https://hololive.booth.pm/items/2258633
⚓Click here for the international purchase page！⚓
https://www.geekjack.net/minato_aqua
▷◁－－－－－－－－－－－－－－－－－－－－－－－－－▷◁
※ホロライブプロダクションから未成年の視聴者の方々へのお願い
[カバー 未成年者の方々へ]で検索してお読みいただくか、下記リンクをご確認の上、お楽しみください。
https://hololivepro.com/request-to-minors/",https://i.ytimg.com/vi/PJAHkIBg3p0/hqdefault.jpg,Aqua Ch. 湊あくあ,20,572203,14225,0,147
EAyA7l0JGaQ,2024-05-08T06:00:09Z,UCtceiniicYEsbAVuWy-Bi0Q,『ドラゴンクエストウォーク』の新情報をお届け「スマートウォーク」#93,"『ドラゴンクエストウォーク』の新情報をお届けする情報番組「スマートウォーク」。
今回は現在開催中のイベント更新情報をご紹介いたします。

▼AppStore
https://sqex.to/H2L4M​​

▼GooglePlay
https://sqex.to/WIThB​​ 

© ARMOR PROJECT/BIRD STUDIO/SQUARE ENIX",https://i.ytimg.com/vi/EAyA7l0JGaQ/hqdefault.jpg,ドラゴンクエストウォーク公式,20,244838,2371,0,190
ggyGQldYq6g,2024-05-08T21:35:27Z,UCJQj2lbG_3w8UrncJd7JZXw,【R・マドリード vs バイエルン・ミュンヘン】UEFAチャンピオンズリーグ 2023-24 準決勝 2nd leg／1分ハイライト【WOWOW】,"≪WOWOWオンデマンド：無料でCL/EL長尺ハイライトを楽しもう！≫ 
https://wod.wowow.co.jp/genre/106?utm_source=youtube&utm_medium=referral&utm_campaign=movie_cl2324_T-SF_HL_s

≪さらに詳しいCL/EL情報をゲット！≫ 
WOWOWサッカー公式Twitter
https://twitter.com/wowow_soccer 

WOWOWサッカー公式Instagram
https://www.instagram.com/wowowsoccer/ 

放送・配信スケジュールはこちら
https://www.wowow.co.jp/sports/clel/?utm_source=youtube&utm_medium=referral&utm_campaign=movie_cl2324_T-SF_HL_s

CLELの勝敗予想が楽しめる新サービス「FANUP」スタート！
ミッション達成でWOWOW月額料金が総額1,000円OFFになるキャンペーン実施中。
さらに！ランキング上位になるとヨーロッパ旅行など豪華賞品が当たる。
FANUPでCLEL予想を体験しよう！無料予想はこちら → https://bit.ly/49134Ds

＃チャンピオンズリーグ ＃CL ＃ヨーロッパリーグ ＃EL ＃海外サッカー ＃WOWOW",https://i.ytimg.com/vi/ggyGQldYq6g/hqdefault.jpg,WOWOWサッカーofficial,17,647527,5192,0,1555
p_KgZkvdFYk,2024-05-08T15:00:01Z,UCtiObj3CsEAdNU6ZPWDsddQ,BEOMGYU’s Sukidakara (Original Song: Yuika) - TXT (투모로우바이투게더),"BEOMGYU’s Sukidakara (Original Song: Yuika) - TXT (투모로우바이투게더)

Listen 'Sukidakara' by TOMORROW X TOGETHER on YouTube: https://youtu.be/OLqvhcLGw74

'Sukidakara' by 범규 (BEOMGYU) Download Link: 
- https://drive.google.com/file/d/1JMCv0vb4vbb_zQfFsfyx-RRIa29GOZuJ/view?usp=drive_link
- https://drive.google.com/file/d/1fNaUNGhYUcSPD5HurgTI6qQuvto3wClg/view?usp=drive_link
- https://drive.google.com/file/d/1xFYZphCZbzTm9gJ-aJmK0jcpzFz6vbmU/view?usp=drive_link

Credits:
Film by LEE JAEDON
Assistants SEOL GAHEE, AHN YUHA

Background Vocals - James Keys
Vocal Arrangement - Slow Rabbit, Maiz
Recording Engineers - 탁현관 @ HYBE Studio
James Keys @ REALWORLD
Digital Editing - Slow Rabbit, 손유정, Maiz
Mix Engineer - 손유정 @ HYBE Studio


Connect with TOMORROW X TOGETHER:
https://txt.ibighit.com
https://twitter.com/TXT_bighit
https://twitter.com/TXT_members
https://www.facebook.com/TXT.bighit
https://www.instagram.com/txt_bighit
https://www.tiktok.com/@txt.bighitent 
https://weverse.io/txt
https://www.weibo.com/TXTbighit
https://space.bilibili.com/3493085912763265/

#투모로우바이투게더 #TOMORROW_X_TOGETHER #TXT #범규 #BEOMGYU #Sukidakara",https://i.ytimg.com/vi/p_KgZkvdFYk/hqdefault.jpg,TOMORROW X TOGETHER OFFICIAL,10,404692,100332,0,9785
lVQlIvUr5Dc,2024-05-08T13:03:22Z,UCZlDXzGoo7d44bwdNObFacg,【3DLIVE】かなたそとっ♡神曲アニソンFes!! / Amane Kanata AnimeSong 3DLIVE 【#天音かなた爆誕2024 / ホロライブ】,"2年ぶりのゲストLIVE！！楽しくお祭り騒ぎしよう！！

---------------------------------------------------------------------------------

👼 天音かなたオリジナル曲「おらくる」
　   アニメーションMVプレミア公開！
21:58　https://youtu.be/2ILWn-YyzTQ

👼 「天音かなた誕生日記念2024」グッズ販売開始！
22:00　https://shop.hololivepro.com/products/amanekanata_bd2024

👼 メンバーシップ限定アンコール3DLIVE！
22:10　https://youtube.com/live/8XhqTDkivC4

　メンバーシップ加入
⇒ https://www.youtube.com/channel/UCZlDXzGoo7d44bwdNObFacg/join

---------------------------------------------------------------------------------

◆Produce
天音かなた

◆Guest
AZKi　@AZKi 
百鬼あやめ　@NakiriAyame 
兎田ぺこら　@usadapekora 
不知火フレア　@ShiranuiFlare 
宝鐘マリン　@HoushouMarine 
雪花ラミィ　@YukihanaLamy 
鷹嶺ルイ　@TakaneLui 
沙花叉クロヱ　@SakamataChloe 
アユンダ・リス　@AyundaRisu 
ムーナ・ホシノヴァ　@MoonaHoshinova 

◆キービジュアルイラスト
ソンシル

◆ロゴ
Potiko

◆ダンス制作、指導
明香里/Nagisa,(松本 渚)/夕香里
あおか/Ari/能登有沙

◆音源制作
山本こーすけ/Medansy/mutuëmon
クックルP/Symny/すくろーす/菅野聡志

◆映像制作
Syamo.G-しゃもじ- /オムカ/臼水/Roly
オニマル/しょうけい/Lye/hotori/4ishii

◆オープニング映像制作
Syamo.G-しゃもじ-

◆オープニングイラスト制作
けろりら

◆オープニング楽曲制作
タケノコ少年

◆SpecialThanks
ホロライブスタジオ班/スタッフさん/マネージャー陣
ホロライブリスナーのみんな/ホロメンのみんな
へい民

---------------------------------------------------------------------------------

※ホロライブプロダクションから未成年の視聴者の方へお願い
[ カバー 未成年者の方々へ ] で検索してお読みいただくか、
下記リンクをご確認の上、お楽しみください。
https://hololivepro.com/request-to-minors/


#天音かなた #天音かなた爆誕2024",https://i.ytimg.com/vi/lVQlIvUr5Dc/hqdefault.jpg,Kanata Ch. 天音かなた,10,479829,39818,0,490
DgRmrlrRUN8,2024-05-08T08:00:09Z,UCuFPaemAaMR8R5cHzjy23dQ,Snow Man【アスレチックに行く前にまずはメシ！ 】ある意味…ソウルフードだね!!,"どうもSnow Manです！
今回は、目黒連presents「アスレチックに行く前に美味しいご飯を食べよう」です。
浅草のお好み焼き・もんじゃ焼きにやってまいりまして（ご飯も目黒セレクト）。
 
下町代表のしょっぴーが＆佐久間が、もんじゃ焼きを作る、、、!?
削りたての鰹節が最高においしい！
えび、牡蛎の鉄板焼き、焦がし明太子のお好み焼き、トン平焼き、、、。
飯テロだね 笑笑。

#すのちゅーぶ #お好み焼き #下町育ち #もんじゃ焼き

◆STARTO ENTERTAINMENT Official Site
https://starto.jp/s/p/artist/43?ima=0912

◆Snow Man HP
https://mentrecording.jp/snowman/

◆Snow Man YouTube公式チャンネル
https://www.youtube.com/@SnowMan.official.9

◆Snow Man X
https://twitter.com/SN__20200122

◆Snow Man TikTok
https://www.tiktok.com/@snowman_mentrecording_s

◆Snow Man Instagram
https://www.instagram.com/snowman.official.9  

◆Snow Man Weibo
https://www.weibo.com/SnowManofficial

#SnowMan #スノ #スノチューブ #岩本照 #深澤辰哉 #ラウール #渡辺翔太 #向井康二 #阿部亮平 #目黒蓮 #宮舘涼太 #佐久間大介",https://i.ytimg.com/vi/DgRmrlrRUN8/hqdefault.jpg,Snow Man,10,874784,49178,0,2596
Olr7YwLu3kQ,2024-05-07T10:28:07Z,UCDtVdj7sm41Ysg3XSiSUH3w,なにわ男子 - Alpha [Official Music Video],"⁡
'Alpha'
＿＿＿＿＿＿＿＿＿＿＿＿＿＿
2024.06.12 Release
3rd ALBUM「+Alpha」
https://www.storm-labels.co.jp/s/js/discography/LCCA-6135

💿ご予約はこちら
https://naniwadanshi.lnk.to/plus_AlphaYT

✦なにわ男子（Naniwa Danshi）✦
Instagram https://www.instagram.com/naniwadanshi728official/
YouTube https://www.youtube.com/@naniwadanshi
TikTok https://www.tiktok.com/@naniwadanshi_storm
X https://twitter.com/728_Storm
Weibo https://weibo.com/nnwjstorm
Storm Labels Official Website https://www.storm-labels.co.jp/s/js/artist/J0011

#なにわ男子_Alpha #なにわ男子_十Alpha #なにわ男子",https://i.ytimg.com/vi/Olr7YwLu3kQ/hqdefault.jpg,なにわ男子,24,1048025,63578,0,6438
